timeStamp,elapsed,label,responseCode,responseMessage,threadName,dataType,success,failureMessage,bytes,sentBytes,grpThreads,allThreads,URL,Latency,IdleTime,Connect
1643394205601,261,PUT,200,OK,bzm - Concurrency Thread Group-ThreadStarter 2-6,text,true,,1123,256,6,6,https://jsonplaceholder.typicode.com/posts/1,261,0,0
1643394205629,254,PUT,200,OK,bzm - Concurrency Thread Group-ThreadStarter 2-1,text,true,,1119,256,6,6,https://jsonplaceholder.typicode.com/posts/1,254,0,0
1643394205651,267,PUT,200,OK,bzm - Concurrency Thread Group-ThreadStarter 2-5,text,true,,1133,256,6,6,https://jsonplaceholder.typicode.com/posts/1,267,0,0
1643394205667,267,PUT,200,OK,bzm - Concurrency Thread Group-ThreadStarter 2-4,text,true,,1125,256,6,6,https://jsonplaceholder.typicode.com/posts/1,267,0,0
1643394205835,272,DELETE,200,OK,bzm - Concurrency Thread Group-ThreadStarter 2-2,text,true,,1054,226,6,6,https://jsonplaceholder.typicode.com/posts/1,272,0,0
1643394205862,276,DELETE,200,OK,bzm - Concurrency Thread Group-ThreadStarter 2-6,text,true,,1054,226,6,6,https://jsonplaceholder.typicode.com/posts/1,276,0,0
1643394205884,262,DELETE,200,OK,bzm - Concurrency Thread Group-ThreadStarter 2-1,text,true,,1062,226,6,6,https://jsonplaceholder.typicode.com/posts/1,262,0,0
1643394205918,271,DELETE,200,OK,bzm - Concurrency Thread Group-ThreadStarter 2-5,text,true,,1064,226,6,6,https://jsonplaceholder.typicode.com/posts/1,271,0,0
1643394205934,262,DELETE,200,OK,bzm - Concurrency Thread Group-ThreadStarter 2-4,text,true,,1066,226,6,6,https://jsonplaceholder.typicode.com/posts/1,261,0,0
1643394206108,135,GET,200,OK,bzm - Concurrency Thread Group-ThreadStarter 2-2,text,true,,1371,140,6,6,https://jsonplaceholder.typicode.com/posts/1,135,0,90
1643394206139,157,GET,200,OK,bzm - Concurrency Thread Group-ThreadStarter 2-6,text,true,,1369,140,6,6,https://jsonplaceholder.typicode.com/posts/1,157,0,99
1643394206146,150,GET,200,OK,bzm - Concurrency Thread Group-ThreadStarter 2-1,text,true,,1369,140,6,6,https://jsonplaceholder.typicode.com/posts/1,150,0,94
1643394206189,187,GET,200,OK,bzm - Concurrency Thread Group-ThreadStarter 2-5,text,true,,1367,140,6,6,https://jsonplaceholder.typicode.com/posts/1,187,0,137
1643394206196,185,GET,200,OK,bzm - Concurrency Thread Group-ThreadStarter 2-4,text,true,,1375,140,6,6,https://jsonplaceholder.typicode.com/posts/1,185,0,129
1643394205223,1165,GET,200,OK,bzm - Concurrency Thread Group-ThreadStarter 2-3,text,true,,1377,140,6,6,https://jsonplaceholder.typicode.com/posts/1,1165,0,1122
1643394206244,260,POST,201,Created,bzm - Concurrency Thread Group-ThreadStarter 2-2,text,false,"Test failed: code expected to equal /

****** received  : 20[[[1]]]

****** comparison: 20[[[0]]]

/",1248,250,6,6,https://jsonplaceholder.typicode.com/posts,260,0,0
1643394206296,276,POST,201,Created,bzm - Concurrency Thread Group-ThreadStarter 2-1,text,false,"Test failed: code expected to equal /

****** received  : 20[[[1]]]

****** comparison: 20[[[0]]]

/",1248,250,6,6,https://jsonplaceholder.typicode.com/posts,276,0,0
1643394206296,279,POST,201,Created,bzm - Concurrency Thread Group-ThreadStarter 2-6,text,false,"Test failed: code expected to equal /

****** received  : 20[[[1]]]

****** comparison: 20[[[0]]]

/",1246,250,6,6,https://jsonplaceholder.typicode.com/posts,279,0,0
1643394206381,260,POST,201,Created,bzm - Concurrency Thread Group-ThreadStarter 2-4,text,false,"Test failed: code expected to equal /

****** received  : 20[[[1]]]

****** comparison: 20[[[0]]]

/",1256,250,6,6,https://jsonplaceholder.typicode.com/posts,260,0,0
1643394206377,288,POST,201,Created,bzm - Concurrency Thread Group-ThreadStarter 2-5,text,false,"Test failed: code expected to equal /

****** received  : 20[[[1]]]

****** comparison: 20[[[0]]]

/",1252,250,6,6,https://jsonplaceholder.typicode.com/posts,288,0,0
1643394206389,278,POST,201,Created,bzm - Concurrency Thread Group-ThreadStarter 2-3,text,false,"Test failed: code expected to equal /

****** received  : 20[[[1]]]

****** comparison: 20[[[0]]]

/",1250,250,6,6,https://jsonplaceholder.typicode.com/posts,278,0,0
1643394206504,279,PUT,200,OK,bzm - Concurrency Thread Group-ThreadStarter 2-2,text,true,,1121,256,6,6,https://jsonplaceholder.typicode.com/posts/1,279,0,0
1643394206572,255,PUT,200,OK,bzm - Concurrency Thread Group-ThreadStarter 2-1,text,true,,1129,256,6,6,https://jsonplaceholder.typicode.com/posts/1,255,0,0
1643394206575,288,PUT,200,OK,bzm - Concurrency Thread Group-ThreadStarter 2-6,text,true,,1117,256,6,6,https://jsonplaceholder.typicode.com/posts/1,288,0,0
